Bonjour,hello,,,,,
Salut,Bye,,,,,
Bonsoir,Good evening,,,,,
Oui,yes,,,,,
Merci,Thank you,,,,,
Merci beaucoup,Thank you very much,,,,,
S'il te plaît,Please,,,,,
à tout à l'heure,see you later (same day),,,,,
Comment tu t'appelles,What is your name?,,,,,
Je m'appelle,My name is,,,,,
Avec plaisir,With pleasure,,,,,
Comment allez-vous?,How are you?,,,,,
Très bien,Very well,,,,,
Pouvez-vous répéter s'il-vous-plaît?,Can you repeat please?,,,,,
Je comprends I understand,I understand,,,,,
Au Revoir,Good-bye,,,,,
Bon après-midi,Good afternoon,,,,,
Bonne nuit Good night,,,,,
Non,No,,,,,
De rien,You’re welcome,,,,,
S'il vous plaît,Please,,,,,
à bientôt,See you soon,,,,,
à la prochaine,See you next time,,,,,
Comment vous appelez-vous?`,What is your name?,,,,,
Enchanté`,Nice to meet you!,,,,,
Comment vas-tu?,How are you?,,,,,
Ça va?,How's it going?,,,,,
Je ne parle pas français,I do not speak French,,,,,
Vous parlez trop vite.,You are speaking too fast.,,,,,
Je comprends un peu.,I understand a little,,,,,
