La campagne,The countryside,,,,
Le champ,The field,,,,
La plaine,The plain,,,,
Le pré,The meadow,,,,
La prairie,The meadow,,,,
Les bois,The woods,,,,
La forêt,The forest,,,,
Un arbre,A tree,,,,
Un nid,A nest,,,,
La fleur,The flower,,,,
L'herbe,The grass,,,,
Une clairière,A clearing,,,,
Un ruisseau,A stream,,,,
Le lac,A lake,,,,
Le ciel,The sky,,,,
Le vent,The wind,,,,
Le nuage,The cloud,,,,
Une colline,A hill,,,,
Une vallée,A valley,,,,
Un sentier,A path,,,,
Un chemin,A path,,,,
