La boulangerie,The bakery,,,,
La boucherie,The butcher's,,,,
La pharmacie,The chemist,,,,
Le café,The café,,,,
Le supermarché,The supermarket,,,,
Le collège,The lower secondary school,,,,
Le magasin,The shop,,,,
Le centre-ville,The town centre,,,,
Le centre commercial,The shopping centre,,,,
Le marché,The market,,,,
Le parc,The park,,,,
Le tabac,The tobacconist,,,,
La charcuterie,The pork butcher/delicatessen,,,,
Le syndicat d'initiative,The tourist office,,,,
Le château,The castle,,,,
La galerie d'art,The art galery,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
