,,,,,,
un cerf,jelen,,,,,
etre faché,obrazac sie,,,,,
Ca prend,To zajmuje,,,,,
Nous avons mis 2 heures,zajelo to nam 2 h,,,,,
Le temp passe vite!,czas leci!,,,,,
prendre du temps,potrwac,,,,,
gagner du temp,zyskac na czasie,,,,,
Se depecher,spieszyc sie,,,,,
etre presse,byc ograniczonym czasowo,,,,,
la pendule,zegar wahadlowy,,,,,
attraper le train,lapac (pociag),,,,,
pile,syn: precise,,,,,
avoir beaucoup à faire,miesc duzo do zrobienia,,,,,
faire du bruit,robic halas,,,,,
s’endormir,zasypiac,,,,,
en comparant avec,porownujac,,,,,
ratrapper,nadrobic,,,,,
de nouvelles personnes,nowi ludzie,,,,,
un ours,niedzwiedz,,,,,
le mouton; la brebis,baran; owca,,,,,
prendre des notes,robic notatki,,,,,
impuissant,bezradny,,,,,
malin,madry,,,,,
le loup ne sert a rien,od: servir - sluzyc,,,,,
la fumée,dym,,,,,
un piéton,pieszy,,,,,
l’un d’eux,jeden z nich,,,,,
"moche 
laid",brzydki,,,,,
suffire,starczyc,,,,,
des épinards,szpinak :),,,,,
souffrir,cierpiec,,,,,
se soigner,dobac,,,,,
soigne,"zadbany, nienaganny",,,,,
es regles,miec okres,,,,,
je n’en fais pas,Ja (tego) nie robie,,,,,
un entretien d’embauche,rozmowa kwalifikacyjna,,,,,
aider qq,pomagac komus,,,,,
des chaussures à talon,buty na obcasie,,,,,
se sentir,"czuc, sprawiac, ze ktos sie czuje",,,,,
un comportement-,zachowanie,,,,,
une gueule,morda,,,,,
une etoile,gwiazda,,,,,
l’equateur,rownik,,,,,
gentiement,delikatnie,,,,,
fermement,zdecydowanie,,,,,
sonner,dzwonic,,,,,
le reveillon,wiglia,,,,,
ranger,ukladac,,,,,
un désordre,nieporzadek,,,,,
se frapper,uderzyc,,,,,
roter,bekac,,,,,
il gele,mrozi,,,,,
des crotes,odchody,,,,,
ramasser,zbierac,,,,,
un couteau /kuto/,Lyzeczka,,,,,
une fourchette /furszete/,Widely,,,,,
cru,surowy,,,,,
sourd,gluchy,,,,,
muet,niemy,,,,,
“il me rend dingue”,he drives me crazy,,,,,
etre en train de,byc w trakcie,,,,,
revoir,przypominac sobie,,,,,
bavard(e),gadatliwy,,,,,
raconter a qn,spotykac sie z kims,,,,,
sourir a qn,usmiechac sie do kogos,,,,,
il me semble,wydaje mi sie,,,,,
bücheur,kujon,,,,,
bosseur,osoba ciezko pracujaca,,,,,
une tenu de sport,dres,,,,,
lent,powolny,,,,,
long/ longue,dlugi,,,,,
se débrouiller -,radzić sobie,,,,,
une allocation,alokacja,,,,,
eteindre,"zgasiś, wyłączyć",,,,,
montrer,pokazywać,,,,,
etre a l’aise,być swobodnym,,,,,
un comportement-,zachowanie,,,,,
une gueule,morda,,,,,
une etoile,gwiazda,,,,,
le ciel est etolle,gwiezdziste niebo,,,,,
l’equateur,rownik,,,,,
sauf,oprócz,,,,,
un trottoir,chodnik,,,,,
une chaussette,Skarpetka,,,,,
aurore polaire,zorza polarna,,,,,
sur,na,,,,,
sous,pod,,,,,
une etagere,polka,,,,,
un horloge,Zegar,,,,,
un reveil,budzik,,,,,
se reveiller,budzic sie,,,,,
une montre,Zegarek,,,,,
une echarpe,szalik,,,,,
